Year,Place,Name,Country,Mark
1956,1,Charles Everett DUMAS,USA,2.12
1956,2,Charles Michael PORTER,AUS,2.10
1956,3,Igor KASHKAROV,URS,2.08
1956,4,Stig PETTERSSON,SWE,2.06
1956,5,Kenneth E. MONEY,CAN,2.03
1956,6,Vladimir SITKIN,URS,2.00
1956,7,Colon Edwin RIDGEWAY,AUS,2.00
1956,8,Philip Martin REAVIS,USA,2.00
1956,9,Julius Obiefuna CHIGBOLU,NGR,2.00
1956,10,Vernon Troylee WILSON,USA,2.00
1956,11,Maurice FOURNIER,FRA,1.96
1956,12,Yukio ISHIKAWA,JPN,1.96
1956,13,Patrick ETOLU,UGA,1.96
1956,14,Ajit SINGH,IND,1.96
1956,15,Ernest Leighton HAISLEY,JAM,1.96
1956,16,Peter WELLS,GBR,1.96
1956,17,Ciriaco BARONDA,PHI,1.92
1956,18,Joseph LERESAE,KEN,1.92
1956,19,Vincent Ikechuka GABRIEL,NGR,1.92
1956,20,Chuan-Kwang YANG,TPE,1.86
1956,21,José TELLES DA CONCEIÇÃO,BRA,1.86
1956,22,Nagalingam ETHIRVEERASINGAM,SRI,1.86
1956,23,Víctor CARMONA,PUR,
1956,24,Brendan O'REILLY,IRL,
1956,25,Walter Andre HERSSENS,BEL,
1956,26,Richard Clement ESTICK,JAM,
