Year,Place,Name,Country,Mark
1960,1,Robert' SHAVLAQ'ADZE,URS,2.16
1960,2,Valeri BRUMEL,URS,2.16
1960,3,John Curtis THOMAS,USA,2.14
1960,4,Viktor BOLSHOV,URS,2.14
1960,5,Stig PETTERSSON,SWE,2.09
1960,6,Charles Everett DUMAS,USA,2.03
1960,7,Theodor (Theo) PULL,GER,2.03
1960,8,Kjell-Ake NILSSON,SWE,2.03
1960,9,Jiri LANSKY,TCH,2.03
1960,10,Robert KOTEI,GHA,2.03
1960,11,Cornel PORUMB,ROU,2.03
1960,12,Mahamat IDRISS,FRA,2.03
1960,13,Sandor NOSZALY,HUN,2.03
1960,14,Maurice FOURNIER,FRA,2.00
1960,15,Piotr SOBOTTA,POL,2.00
1960,16,Gordon Albert MILLER,GBR,2.00
1960,17,Joseph Patrick FAUST,USA,1.95
