Year,Place,Name,Country,Mark
1964,1,Valeri BRUMEL,URS,2.18
1964,2,John Curtis THOMAS,USA,2.18
1964,3,John Barnett RAMBO,USA,2.16
1964,4,Stig PETTERSSON,SWE,2.14
1964,5,Robert' SHAVLAQ'ADZE,URS,2.14
1964,6,Ralf DRECOLL,GER,2.09
1964,7,Kjell-Ake NILSSON,SWE,2.09
1964,8,Edward J. Jr. CARUTHERS,USA,2.09
1964,9,Mahamat IDRISS,CHA,2.09
1964,10,Lawrence William PECKHAM,AUS,2.09
1964,11,Edward CZERNIK,POL,2.06
1964,12,Evgeni Yotov YORDANOV,BUL,2.06
1964,13,Anthony Howard SNEAZWELL,AUS,2.06
1964,14,Valeri SKVORTSOV,URS,2.06
1964,15,Samuel IGUN,NGR,2.06
1964,16,Mauro BOGLIATTO,ITA,2.06
1964,17,Wolfgang SCHILLKOWSKI,GER,2.06
1964,18,Gordon Albert MILLER,GBR,2.03
1964,19,Rudolf KOPPEN,GER,2.00
1964,20,Henri ELENDE,CGO,1.90
1964,21,Won-sil CHA,PRK,
