Year,Place,Name,Country,Mark
1988,1,Gennady AVDEYENKO,URS,2.38
1988,2,Hollis CONWAY,USA,2.36
1988,3,Patrick SJÖBERG,SWE,2.36
1988,4,Rudolf POVARNITSIN,URS,2.36
1988,5,Nick SAUNDERS,BER,2.34
1988,6,Dietmar MÖGENBURG,FRG,2.34
1988,7,Carlo THRÄNHARDT,FRG,2.31
1988,8,Dalton GRANT,GBR,2.31
1988,9,Igor PAKLIN,URS,2.31
1988,10,James Allen Jr. HOWARD,USA,2.31
1988,11,Brian E. STANTON,USA,2.31
1988,12,Krzysztof KRAWCZYK,POL,2.31
1988,13,Luca TOSO,ITA,2.25
1988,14,Arturo ORTIZ SANTOS,ESP,2.25
1988,15,Robert RUFFINI,TCH,2.20
1988,16,Geoffrey Peter PARSONS,GBR,2.15
